Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,2177,3349,35,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1718,Нет старой цены,Нет скидки,Ограничено
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2694,3454,22,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2722,3490,22,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,2177,3349,35,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,2177,3349,35,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,2540,3908,35,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,1263,1943,35,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2680,4123,35,Ограничено
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,3496,5378,35,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,3496,5378,35,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,3629,5583,35,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,2358,3628,35,Ограничено
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1905,2930,35,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,2177,3349,35,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,2358,3628,35,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер:Библиотека программиста,1057,Нет старой цены,Нет скидки,На складе
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум,Фриск Валерий Владимирович и др.,Солон-пресс:Библиотека студента,1271,1955,35,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3720,5723,35,На складе
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань:Учебники для вузов. Специальная литература,573,881,35,Ограничено
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2910,3731,22,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,1554,1992,22,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1212,1865,35,На складе
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,2543,3912,35,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,729,1122,35,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,4432,6818,35,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1399,2152,35,Ограничено
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1633,2513,35,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),1206,Нет старой цены,Нет скидки,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1633,2513,35,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,4174,6421,35,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,2358,3628,35,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,2358,3628,35,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1841,2360,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1399,2152,35,Ограничено
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,5243,8066,35,Ограничено
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,4427,6810,35,На складе
,,,0,Нет старой цены,Нет скидки,
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,2427,Нет старой цены,Нет скидки,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2903,4466,35,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1995,3069,35,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,2358,3628,35,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1563,2404,35,Ограничено
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1360,2093,35,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1633,2513,35,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1645,Нет старой цены,Нет скидки,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,5243,8066,35,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,4427,6810,35,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2358,3628,35,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,727,1118,35,На складе
,,,0,Нет старой цены,Нет скидки,
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2903,4466,35,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2831,4355,35,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1154,1775,35,Ограничено
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,3388,5212,35,Ограничено
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1403,2159,35,Ограничено
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1747,2688,35,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,2358,3628,35,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,2177,3349,35,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1815,2793,35,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2506,3856,35,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2551,Нет старой цены,Нет скидки,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,2177,3349,35,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1633,2513,35,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1765,2715,35,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1555,2393,35,Ограничено
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1451,2233,35,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,5243,8066,35,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1451,2233,35,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1815,2793,35,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,2358,3628,35,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",2098,3227,35,Ограничено
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2569,3952,35,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1248,1600,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2358,3628,35,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1217,1560,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,725,1115,35,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,2086,3209,35,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),3120,4000,22,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,501,770,35,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,590,908,35,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,3669,5645,35,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1616,2486,35,Ограничено
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,333,513,35,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,484,745,35,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,212,326,35,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,484,745,35,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,696,1070,35,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,290,446,35,Ограничено
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,666,1025,35,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,272,419,35,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,1269,1953,35,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1269,1953,35,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,2953,4543,35,Ограничено
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,3117,4796,35,Ограничено
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,2043,3143,35,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,2450,3769,35,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3629,5583,35,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2673,4113,35,Ограничено
,,,0,Нет старой цены,Нет скидки,
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1937,2980,35,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2600,4000,35,На складе
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1338,1716,22,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2903,4466,35,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2903,4466,35,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,3496,5378,35,Ограничено
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,3496,5378,35,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,365,562,35,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,2358,3628,35,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,4427,6810,35,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,5243,8066,35,Ограничено
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1730,2662,35,На складе
,,,0,Нет старой цены,Нет скидки,
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1905,2930,35,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1633,2513,35,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1305,2008,35,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1206,1546,22,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,2053,3159,35,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,333,513,35,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,666,1025,35,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,2291,3524,35,Ограничено
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,3267,5026,35,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1483,1901,22,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1184,Нет старой цены,Нет скидки,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,3085,4746,35,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,2722,4187,35,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2731,3501,22,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,2128,2728,22,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,2197,2817,22,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1817,2796,35,На складе
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,4851,7463,35,Ограничено
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,2202,3388,35,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,3001,4617,35,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,1451,2233,35,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,2358,3628,35,На складе
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",2098,3227,35,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",2680,4123,35,На складе
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,2540,3908,35,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,1776,2733,35,Ограничено
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1905,2930,35,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,2158,2767,22,Ограничено
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1416,1815,22,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1323,1696,22,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1323,1696,22,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1815,2793,35,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1928,Нет старой цены,Нет скидки,На складе
Python для чайников,Мюллер Джон Пол,"Диалектика:Для ""чайников""",2098,3227,35,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,1362,2096,35,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1925,2468,22,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1747,2688,35,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,1206,Нет старой цены,Нет скидки,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,3449,5306,35,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1633,2513,35,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,4084,6283,35,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1670,Нет старой цены,Нет скидки,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1713,2635,35,На складе
Django 2 в примерах,Меле Антонио,ДМК-Пресс,2358,3628,35,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,3085,4746,35,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,3437,5288,35,На складе
,,,0,Нет старой цены,Нет скидки,
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1232,1896,35,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2680,4123,35,Ограничено
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1633,2513,35,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,3105,4777,35,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,2540,3908,35,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,4427,6810,35,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1282,1972,35,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,6174,9498,35,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1747,2688,35,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2638,4059,35,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1815,2793,35,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,271,417,35,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1455,Нет старой цены,Нет скидки,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1815,2793,35,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,3449,5306,35,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,5243,8066,35,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1747,2688,35,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1136,1748,35,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,3811,5863,35,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,4427,6810,35,Ограничено
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,6174,9498,35,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1497,1919,22,На складе
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1888,2905,35,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1473,2266,35,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,962,1480,35,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,3496,5378,35,Ограничено
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,3184,Нет старой цены,Нет скидки,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,2450,3769,35,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1704,2621,35,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2722,4187,35,Ограничено
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,2447,3764,35,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2219,3414,35,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,752,1157,35,Ограничено
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2745,3519,22,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1815,2793,35,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,6989,10752,35,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,5243,8066,35,На складе
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,6989,10752,35,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,3496,5378,35,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,4427,6810,35,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1870,2877,35,Ограничено
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1705,2186,22,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,2358,3628,35,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1747,2688,35,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1349,1730,22,Ограничено
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,1639,2101,22,На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,961,1479,35,На складе
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1633,2513,35,Ограничено
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1724,2210,22,На складе
C++. Базовый курс,Шилдт Герберт,Вильямс,3496,5378,35,На складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1559,2398,35,На складе
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,385,593,35,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,1530,Нет старой цены,Нет скидки,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,8736,13440,35,На складе
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,999,1537,35,Ограничено
